"All","Alle"
"None","Keine"
"Allowed Scopes","Zulässige Bereiche"
"You need more permissions to delete this item(s): %1.","Sie benötigen weitere Berechtigungen, um diese(s) Element(e) zu löschen: %1."
"You need more permissions to apply some of the rule updates.","Sie benötigen weitere Berechtigungen, um diese Regel-Änderungen anzuwenden."
"Please assign this entity to a store view.","Bitte weisen Sie diesen Eintrag einem Store View zu."
"You can create orders only in an active store.","Sie können Bestellungen ausschließlich in einem aktiven Store anlegen."
"Please assign this item to a store view.","Bitte weisen Sie diesen Eintrag einem Store View zu."
"You need more permissions to save this item.","Sie benötigen weitere Berechtigungen, um dieses Element zu speichern."
"You need more permissions to delete this item.","Sie benötigen weitere Berechtigungen, um dieses Element zu löschen."
"You need more permissions to view this item.","Sie benötigen weitere Berechtigungen, um dieses Element anzuzeigen."
"Please specify at least one website or one store group.","Bitte geben Sie mindestens eine Website oder Store-Group an."
"You need more permissions to set All Scopes to a Role.","Sie benötigen weitere Berechtigungen, um alle Bereiche einer Rolle zuzuweisen."
"Incorrect website ID: %1","Falsche Website-ID: %1"
"You need more permissions to access website ""%1"".","Sie benötigen weitere Berechtigungen, um auf die Website ""%1"" zugreifen zu können."
"Incorrect store ID: %1","Ungültige Store-ID: %1"
"You need more permissions to save this setting.","Sie benötigen weitere Berechtigungen, um diese Einstellung zu speichern."
"Role Scopes","Bereich der Rolle"
"Custom","Benutzerdefiniert"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Store-View"
"Read Details","Details anzeigen"
"Mark as Read","Als gelesen markieren"
"Are you sure?","Sind Sie sicher?"
"Remove","Entfernen"
"Messages Inbox","Posteingang"
"You have %1 new system messages","Sie haben %1 neue System-Nachrichten"
"You have %1 new system message","Sie haben %1 neue System-Nachricht"
"Incoming Message","Eingehende Nachricht"
"close","schließen"
"Notifications","Benachrichtigungen"
"The message has been marked as Read.","Die Nachricht wurde als gelesen markiert."
"We couldn't mark the notification as Read because of an error.","Leider konnte die Nachricht aufgrund eines Fehlers nicht als gelesen markiert werden."
"Please select messages.","Bitte Nachrichten wählen."
"A total of %1 record(s) have been marked as Read.","Insgesamt wurden %1 Einträge als gelesen markiert."
"Total of %1 record(s) have been removed.","Insgesamt wurden %1 Einträge entfernt."
"We couldn't remove the messages because of an error.","Wir konnten die Nachrichten aufgrund eines Fehlers nicht entfernen."
"The message has been removed.","Die Nachricht wurde gelöscht."
"1 Hour","1 Stunde"
"2 Hours","2 Stunden"
"6 Hours","6 Stunden"
"12 Hours","12 Stunden"
"24 Hours","24 Stunden"
"critical","Kritisch"
"major","sehr wichtige"
"minor","wichtige"
"notice","unwichtige"
"Wrong message type","Falscher Nachrichtentyp"
"Wrong notification ID specified.","Falsche Benachrichtigungs-ID angegeben."
