"All","Todo"
"None","Ninguno"
"Allowed Scopes","Vistas permitidas"
"More permissions are needed to delete the ""%1"" item.","Se necesitan más permisos para eliminar el elemento ""%1""."
"You need more permissions to apply some of the rule updates.","Necesitas más permisos para aplicar algunas de las actualizaciones de las reglas."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Esta entidad debe ser asignada a una vista de la tienda. Verificar la asignación de entidad e inténtelo de nuevo."
"Orders can only be completed in an active store. Verify the store and try again.","Los pedidos sólo se pueden completar en una tienda activa. Verifique la tienda e inténtelo de nuevo."
"This item needs to be assigned to a store view. Assign item and try again.","Este elemento necesita ser asignado a una vista de la tienda. Asigne un elemento y vuelva a intentarlo."
"More permissions are needed to save this item.","Se necesitan más permisos para guardar este elemento."
"More permissions are needed to delete this item.","Más permisos son necesarios para eliminar este elemento."
"More permissions are needed to view this item.","Se necesitan más permisos para guardar este elemento."
"At least one website or store group needs to be selected. Select and try again.","Debe seleccionarse al menos un sitio web o grupo de tienda. Seleccione e inténtelo de nuevo."
"More permissions are needed to set All Scopes to a Role.","Más permisos son necesarios para fijar en todos los ámbitos en un Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","El ID de la Página Web ""%1"" es incorrecto. Verificar el ID de la página web e inténtelo de nuevo."
"You need more permissions to access website ""%1"".","Necesitas más permisos para acceder a la página web ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","El ID de la tienda ""%1"" es incorrecto. Verificar el ID de la página web e inténtelo de nuevo."
"More permissions are needed to save this setting.","Más permisos son necesarios para guardar esta configuración."
"Role Scopes","Alcance del Role"
"Custom","Personalizado"
"Read Details","Leer detalles"
"Mark as Read","Marcar como leído"
"Are you sure?","¿Seguro que quieres continuar?"
"Remove","Eliminar"
"Messages Inbox","Bandeja de entrada"
"You have %1 new system messages","Tiene %1 nuevos mensajes del sistema"
"You have %1 new system message","Tiene %1 nuevo mensaje del sistema"
"Incoming Message","Mensaje entrante"
"close","cerrar"
"Notifications","Notificaciones"
"The message has been marked as Read.","El mensaje se ha marcado como leído."
"We couldn't mark the notification as Read because of an error.","No pudimos marcar la notificación como leída debido a un error."
"Please select messages.","Seleccione mensajes."
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) se han marcado como leídos."
"Total of %1 record(s) have been removed.","Total de %1 registro(s) se han eliminado."
"We couldn't remove the messages because of an error.","No hemos podido quitar los mensajes debido a un error."
"The message has been removed.","El mensaje ha sido eliminado."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Ha visto y resuelto todos los avisos recientes del sistema. Por favor actualice la página web para borrar la alarma de aviso."
"1 Hour","1 hora"
"2 Hours","2 horas"
"6 Hours","6 horas"
"12 Hours","12 horas"
"24 Hours","24 horas"
"critical","crítico"
"major","principal"
"minor","secundario"
"notice","aviso"
"Wrong message type","Tipo de mensaje incorrecto"
"Wrong notification ID specified.","ID de la notificación especificado incorrecto."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","no se recomienda utilizar {{base_url}} en un entorno de producción para declarar la URL Base Insegura/Segura. Le recomendamos cambiar este valor en su <a href=""%1"">configuración</a> Magento."
"One or more of the Cache Types are invalidated: %1.","Uno o más de los tipos de memoria de caché son inválidos: %1."
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, vaya a <a href=""%1""> Gestión de la caché de</a>y actualice los tipos de memoria de caché."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No hemos podido sincronizar uno o más archivos multimedia. Por favor, consulte el archivo de registro para más detalles."
"Synchronization of media storages has been completed.","La sincronización de almacenamiento multimedia se ha completado."
