"All","Все"
"None","Нет"
"Allowed Scopes","Допустимые области"
"You need more permissions to delete this item(s): %1.","У вас недостаточно прав для удаления этого товара(ов): %1."
"You need more permissions to apply some of the rule updates.","У вас недостаточно прав для изменения некоторых правил."
"Please assign this entity to a store view.","Пожалуйста, назначьте эту сущность представлению магазина."
"You can create orders only in an active store.","Вы можете делать заказы только в активном магазине."
"Please assign this item to a store view.","Пожалуйста, назначьте этот предмет представлению магазина."
"You need more permissions to save this item.","У Вас должно быть больше привелегий для сохранения этого элемента."
"You need more permissions to delete this item.","У Вас должно быть больше привелегий для удаления этого элемента."
"You need more permissions to view this item.","У Вас должно быть больше привелегий для просмотра этого элемента."
"Please specify at least one website or one store group.","Пожалуйста, укажите хотя бы один веб-сайт или группу магазинов."
"You need more permissions to set All Scopes to a Role.","У вас недостаточно прав для установки всех областей применения для роли."
"Incorrect website ID: %1","Некорректный ID веб-сайта: %1"
"You need more permissions to access website ""%1"".","Вам нужно больше прав для доступа к веб-сайту «%1»."
"Incorrect store ID: %1","Некорректный ID магазина: %1"
"You need more permissions to save this setting.","У вас недостаточно прав для сохранения параметров."
"Role Scopes","Области ролей"
"Custom","Выборочный"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"Read Details","Подробнее"
"Mark as Read","Пометить как прочитанное"
"Are you sure?","Вы уверены?"
"Remove","Удалить"
"Messages Inbox","Входящие сообщения"
"You have %1 new system messages","У вас есть новые системные сообщения %1"
"You have %1 new system message","У вас есть %1 новое системное сообщение"
"Incoming Message","Входящее сообщение"
"close","закрыть"
"Notifications","Уведомления"
"The message has been marked as Read.","Сообщение было помечено как прочитанное."
"We couldn't mark the notification as Read because of an error.","Мы не можем пометить уведомление как прочитанное из-за ошибки."
"Please select messages.","Пожалуйста, выберите сообщения."
"A total of %1 record(s) have been marked as Read.","%1 записи(ей) было помечено как прочитанные."
"Total of %1 record(s) have been removed.","%1 запись(и) была(и) удалены."
"We couldn't remove the messages because of an error.","Мы не cмогли удалить сообщения из-за ошибки."
"The message has been removed.","Сообщение было удалено."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часов"
"12 Hours","12 часов"
"24 Hours","24 часа"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","уведомление"
"Wrong message type","Неправильный тип сообщения"
"Wrong notification ID specified.","Указан неправильный идентификатор уведомления."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендуется использовать в производственной среде для обьявления небезопасного Base URL / Base Secure URL. Настоятельно рекомендуется изменить это значение в вашем Magento <a href=""%1""> конфигурации</a>."
"One or more of the Cache Types are invalidated: %1.","Один или несколько типов кэша признаны недействительными: %1."
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите на <a href=""%1""> управления кэшем </a> и обновления типов кэша."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нам не удалось синхронизировать один или несколько медиа-файлов. Пожалуйста, обратитесь к log файлу для подробной информации."
"Synchronization of media storages has been completed.","Синхронизация медиа хранилищ была завершена."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер настроен неправильно и разрешает несанкционированный доступ к важным файлам. Пожалуйста, свяжитесь с хостинг-провайдером."
"System Messages:","Системные сообщения:"
"Critical System Messages","Критичные системные сообщения"
"Major System Messages","Основные системные сообщения"
"System messages","Системные сообщения"
"Close","Закрыть"
"See All (","Просмотреть все ("
"unread)","непрочитанные)"
"Show Toolbar","Показать панель инструментов"
"Show List","Показать список"
"Use HTTPS to Get Feed","Использовать HTTPS для Feed-потока"
"Update Frequency","Частота обновления"
"Last Update","Последнее обновление"
"Severity","Серьезность"
"Date Added","Добавлено"
"Message","Сообщение"
"Actions","Действия"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Вы просмотрели и разрешили все последние уведомления. Обновите страницу для очистки уведомления."
"Manage Shopping Cart","Управление корзиной"
"Create Order","Создать заказ"
"Back","Вернуться"
"Add Products","Добавить товары"
"Update Items and Quantities","Обновление элементов и количества"
"Are you sure you want to clear your cart?","Вы уверены, что хотите очистить корзину?"
"Clear my shopping cart","Очистить мою корзину"
"Add selections to my cart","Добавить выбранные в корзину"
"Cancel","Отмена"
"Shopping Cart for %1 in %2","Корзина для %1 в %2"
"Select products you want to buy","Выберите продукты, которые хотите купить"
"Product","Товар"
"Price","Цена"
"Quantity","Количество"
"Products in the Comparison List (%1)","Товары в списке сравнения (%1)"
"Last ordered items (%1)","Недавно заказанные товары (%1)"
"Products","Товары"
"ID","ID"
"SKU","Артикул"
"Recently Compared Products (%1)","Недавно сравнивались (%1)"
"Recently Viewed Products (%1)","Недавно просматривали (%1)"
"Add to Shopping Cart by SKU","Добавить товары в корзину по артикулу"
"Add to Shopping Cart","Добавить в корзину"
"Wish List (%1)","Список желаний (%1)"
"Apply","Применить"
"Configure","Настроить"
"Add to Order by SKU","Добавить товары в заказ по артикулу"
"Add to Order","Добавить в заказ"
"Add Products to Order","Добавить товары в заказ"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> товар(ов) нуждаются во внимании.</span>"
"Remove All","Удалить все"
"Only %1%2%3 left in stock","В наличии осталось только %1%2%3"
"You can buy up to %1 of these per purchase.","Вы можете купить не больше %1 в одном заказе."
"You must buy at least %1 of these per purchase.","Вы должны купить как минимум %1 в одном заказе."
"Specify the product's options.","Укажите опции товара."
"Alert me when this item is available.","Сообщите мне, когда этот товар будет доступен."
"We can't find this customer.","Мы не можем найти этого клиента."
"Shopping cart management is disabled for this customer.","Редактирование корзины отключено для этого клиента."
"We can't find this store.","Мы не можем найти этот магазин."
"Customers","Покупатели"
"Shopping Cart","Корзина"
"Sorry, something went wrong. You can find out more in the error log.","Извините, что-то пошло не так. Вы можете узнать подробности в журнале ошибок."
"You do not have access to this.","Доступ закрыт."
"Ordered item id is not received.","Не получен id заказанного товара."
"Ordered item is not loaded.","Заказанный товар не загружен."
"Quote item id is not received.","ID элемента не принят."
"Quote item is not loaded.","ID элемента не загружен."
"The wish list item id is not received.","ID элемента списка пожеланий не получен."
"The wish list item is not loaded.","Элемент списка пожеланий не загружен."
"An error has occurred. See error log for details.","Произошла ошибка. Смотрите подробности в журнале ошибок."
"You cannot configure a product.","Нельзя настроить продукт."
"You removed the items.","Вы удалили элементы."
"You removed the item.","Вы удалили элемент."
"You added %1 to your shopping cart.","%1 добавлены в вашу корзину."
"You cannot add a product.","Нельзя добавить продукт."
"Order by SKU","Сортировать по SKU"
"The SKU was not found in the catalog.","Артикул не найден в каталоге."
"Availability: Out of stock.","Наличие: Нет в наличии."
"We don't have as many of these as you want.","У нас нет столько, сколько вы хотите."
"You can't add this many to your cart.","Вы не можете добавить столько в вашу корзину."
"You need to choose options for your item.","Необходимо выбрать параметры для элемента."
"We can't add the item to your cart.","Мы не можем добавить элемент в корзину."
"Please enter an actual number in the ""Qty"" field.","Пожалуйста, введите фактическое количество в поле «Кол-во»."
"This product is assigned to another website.","Этот продукт присвоен другому сайту."
"You can add only enabled products.","Вы можете добавить только включенные товары."
"You cannot upload this file.","Вы не можете загрузить этот файл."
"The file is empty.","Файл пуст."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Вы не ввели SKU продукта. Пожалуйста, <a href=""%1""> нажмите здесь,</a> чтобы добавить продукт (ы) по SKU."
"You have not entered a product SKU.","Вы не указали артикул товара."
"We can't add a product to cart by id ""%1"".","Мы не можем добавить товар в корзину по id «%1»."
"Something went wrong while reordering this product.","Что-то пошло не так во время переназначения этого продукта."
"We can't find this wish list.","Не удается найти этот список желаний."
"You added %1 product to your shopping cart.","Вы добавили %1 товар в корзину."
"You added %1 products to your shopping cart.","Вы добавили %1 продукт(ов) в корзину."
"%1 product requires your attention.","%1 продукт требует вашего внимания."
"%1 products require your attention.","%1 продукты требуют вашего внимания."
"Yes, for Specified Customer Groups","Да, для групп указанного клиента"
"Yes, for Everyone","Да, для всех"
"No","Нет"
"The file is corrupt.","Файл поврежден."
"Please upload the file in .csv format.","Пожалуйста, загрузите файл в формате CSV."
"%1 item(s) need your attention.","%1 элемент(ы) требуют вашего внимания."
"Apply Coupon Code","Применить код купона"
"Remove Coupon Code","Удалить код купона"
"Remove","Удалить"
"The coupon code ""%1"" is not valid.","Купон код «%1» не действительный."
"Shopping Cart Items","Корзина Товаров"
"Qty","Кол-во"
"Subtotal","Промежуточный итог"
